Date,Revenue Passenger Miles,Available Seat Miles,Unused Seat Miles
1979-01-01,0.5335484190977089,0.8857122967566393,0.3964398209416883
1979-01-02,0.5255916061885616,0.8771285335889925,0.3826701316745363
1979-01-03,0.4927323888802841,0.8243253458640668,0.3341386105425566
1979-01-04,0.520034794123088,0.8972591560659794,0.37069100420263595
1979-01-05,0.5271206972944549,0.909226221043685,0.3677346592012699
1979-01-06,0.548404381239724,0.9031643933124663,0.37163685452102296
1979-01-07,0.6149896765930222,0.9008583701186058,0.3784002475135665
1979-01-08,0.49817227579216483,0.8970907038650038,0.3936172259804576
1979-01-09,0.4924220130410953,0.8829952507033764,0.3926172745037552
1979-01-10,0.4735558436061255,0.9257092181719624,0.40884362169396476
1979-01-11,0.5287924802848853,0.870858416521904,0.3367066401426538
1979-01-12,0.4857764899719868,0.8955153815469354,0.3947198132651532
1979-01-13,0.5024038223181861,0.8392375524786471,0.34263545275837726
1979-01-14,0.48672127536633364,0.9264452768794219,0.3358486653358419
1979-01-15,0.5183680435492942,0.9300951102017784,0.3668977628490804
1979-01-16,0.5085319349334557,0.8127211162097462,0.40192593270970606
1979-01-17,0.5612540277766368,0.8737879253785287,0.3706061827989523
1979-01-18,0.5043493346956983,0.8977342617166221,0.37338200556858236
1979-01-19,0.5610777295120252,0.889005202397909,0.35747599166387933
1979-01-20,0.5464887032882576,0.8826293421244252,0.33607336412369665
1979-01-21,0.5661914828778326,0.8378132031625793,0.3538997567224985
1979-01-22,0.5101644652550019,0.8494746351510736,0.3790677072543992
1979-01-23,0.49013891559473133,0.8952306527689476,0.37491740759416203
1979-01-24,0.5226858196472062,0.892461993753222,0.33622491920663067
1979-01-25,0.5472032106095639,0.8282564326310233,0.38440038051471426
1979-01-26,0.4898148566295842,0.9052092553034036,0.35988546930062915
1979-01-27,0.5654726595613071,0.8569515437130011,0.3706835347350629
1979-01-28,0.5808090413849313,0.9087749396973794,0.3948420291011589
1979-01-29,0.5152787992369078,0.9094513385090612,0.39926464730517774
1979-01-30,0.5307589177714878,0.907043509779586,0.3948576633070364
1979-01-31,0.4766080443230323,0.9350465970915479,0.33113542067514107
1979-02-01,0.593419588863847,0.8748531181736062,0.3613993164020441
1979-02-02,0.5473637926188833,0.9218190137876424,0.390309293050409
1979-02-03,0.5833253576824537,0.8834529945962982,0.4042958810848256
1979-02-04,0.5332657320693411,0.9045723129044454,0.33951781220468297
1979-02-05,0.5176212615261235,0.8870069032847607,0.3506236163937788
1979-02-06,0.5492267712761909,0.9070182772182098,0.2929255903208134
1979-02-07,0.5608009652886201,0.8885636940851732,0.4015233237539962
1979-02-08,0.5704470990507733,0.913696008797908,0.3493538633384334
1979-02-09,0.5398379795314222,0.8921101140653006,0.34758633362253255
1979-02-10,0.5556107621219502,0.9427487470721923,0.3457462577111649
1979-02-11,0.5804254384825918,0.9220484552311514,0.30182493351694967
1979-02-12,0.5414948220258529,0.8814996816254073,0.3301282985684031
